"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pp[2,5]",1.11008458141212e-05,5.35057690797484e-05,9.91330248082362e-09,1.96785611619827e-07,1.10355800120544e-06,4.8307834538283e-06,8.93457552684613e-05,1.07389213129125,38
"pp[3,5]",0.999988898631169,5.35060246113764e-05,0.999910652936212,0.999995169208414,0.999998896433532,0.999999803214192,0.999999990086693,1,1
"pp[1,6]",6.19336711094844e-10,3.35275456905106e-09,6.46865878304449e-21,1.18430257580468e-15,2.58344479080649e-14,7.72752653321814e-13,7.0190916958254e-09,1.33557945691864,10
"pp[2,6]",1.21928409088664e-05,5.7550620575061e-05,1.18684719053226e-08,2.28638054331716e-07,1.26183532542439e-06,5.47232031041348e-06,9.88891024809947e-05,1.0739051592301,38
"pp[3,6]",0.999987806539754,5.75509260700456e-05,0.99990111007321,0.999994527671372,0.999998738161724,0.999999771361943,0.99999998813152,1,1
"pp[1,7]",7.33472061822224e-10,3.94859336544004e-09,9.6991360739634e-21,1.58656254094141e-15,3.35962444910252e-14,9.85083217799799e-13,8.34202438240976e-09,1.33586928328506,10
"pp[2,7]",1.33968054734743e-05,6.19171354724241e-05,1.40032293300273e-08,2.66704846804577e-07,1.43875279886857e-06,6.19304231178465e-06,0.000109451697950484,1.0739172433608,38
"pp[3,7]",0.999986602461054,6.19175007473609e-05,0.999890547814795,0.999993805595025,0.999998559474561,0.999999733295018,0.99999998599677,1,1
"pp[1,8]",8.6873296703572e-10,4.65078426902379e-09,1.45429282115746e-20,2.12901199639055e-15,4.39323789468058e-14,1.25076713988568e-12,9.91429834350674e-09,1.33616181487339,10
"pp[2,8]",1.47246725307259e-05,6.66324180286452e-05,1.688077672722e-08,3.10104142503001e-07,1.64595195953167e-06,6.96808770329609e-06,0.000121142374277611,1.07392832224582,38
"pp[3,8]",0.999985274458736,6.66328548367113e-05,0.999878857265663,0.999993016028349,0.999998354047399,0.999999689889283,0.999999983119178,1,1
"pp[1,9]",1.02904760309288e-09,5.47839523263898e-09,2.14944640513525e-20,2.8432640580402e-15,5.7795083864878e-14,1.58545027459501e-12,1.18289585577595e-08,1.33645706212652,10
"pp[2,9]",1.61896935283106e-05,7.17259961421786e-05,2.00685513032064e-08,3.61203510725028e-07,1.88274359424381e-06,7.87340277384371e-06,0.000133086313261289,1.07393833088471,38
"pp[3,9]",0.999983809277424,7.17265185563184e-05,0.999866898863261,0.999992124843837,0.999998117256386,0.999999638794371,0.999999979931392,1,1
"pp[1,10]",1.21907812198235e-09,6.45392865753867e-09,3.15800911129123e-20,3.81589826189924e-15,7.65698158203044e-14,2.00652053078663e-12,1.40053328382143e-08,1.33675503386178,10
"pp[2,10]",1.78065890187095e-05,7.72300499631752e-05,2.38129714851272e-08,4.1926826512797e-07,2.15538138469904e-06,8.89775710840829e-06,0.000145929356337768,1.07394720049667,38
"pp[3,10]",0.999982192191903,7.72306748352975e-05,0.999854052729481,0.999991100128385,0.999997844618081,0.999999580729496,0.999999976186974,1,1
"pp[1,11]",1.44435850161332e-09,7.60394292743043e-09,4.63980934794988e-20,5.08659199572385e-15,1.00220807434462e-13,2.55318826431385e-12,1.66560094515635e-08,1.33705573712229,10
"pp[2,11]",1.95917171184218e-05,8.3179662975992e-05,2.79569010521366e-08,4.87152618861587e-07,2.46433549833362e-06,1.01301397980637e-05,0.000160011575216205,1.073954858289,38
"pp[3,11]",0.999980406838523,8.31804104871872e-05,0.999839966477264,0.999989862302619,0.999997535566889,0.999999512847163,0.999999972043098,1,1
"pp[1,12]",1.71145842848105e-09,8.95978697276207e-09,6.81689949797062e-20,6.85038088745955e-15,1.32383086610577e-13,3.2746649565821e-12,1.98848893756071e-08,1.33735917701708,10
"pp[2,12]",2.15632619085476e-05,8.96130978229731e-05,3.31708063055358e-08,5.65742100558867e-07,2.81672627168294e-06,1.14595923105589e-05,0.000177245210878413,1.07396122721035,38
